index:ID,actor,:LABEL
30001,约翰·克莱夫,演员
30002,梅田凡乃,演员
30003,科瑞·雷诺兹,演员
30004,Doug DeMaster,演员
30005,埃迪·琼斯,演员
30006,键本景子,演员
30007,巴里·沙巴卡·亨利,演员
30008,罗伯特·卡拉丁,演员
30009,树木希林,演员
30010,兰迪·奎德,演员
30011,肯尼思·洛纳根,演员
30012,梅根·盖尔,演员
30013,Judy Wyler,演员
30014,罗杰·阿拉姆,演员
30015,梅里拉·扎雷伊,演员
30016,克里斯托弗·马利基,演员
30017,詹妮弗·加纳,演员
30018,尹治,演员
30019,唐纳德·富利洛夫,演员
30020,迈克尔·埃斯佩尔,演员
30021,吕菲斯,演员
30022,张国荣,演员
30023,永井一郎,演员
30024,布拉德·皮特,演员
30025,Michael Simkins,演员
30026,鲁迪·邦德,演员
30027,安库塔·布雷班,演员
30028,大卫·布里斯宾,演员
30029,马蒂亚斯·勃兰特,演员
30030,反田孝幸,演员
30031,Lisa Summerour,演员
30032,艾莉森·洛曼,演员
30033,吉莉安·艾尔-卡迪,演员
30034,路德韦格·布洛克伯格,演员
30035,朱茵,演员
30036,史提文科兹洛夫斯基,演员
30037,温迪·李,演员
30038,程淑艳,演员
30039,Dick Botiller,演员
30040,卡尔·厄本,演员
30041,Michael Edwards,演员
30042,罗伯塔·蕾娜,演员
30043,阿方索·阿雷奥,演员
30044,法纳·莫科纳,演员
30045,比尔·哈德尔,演员
30046,莱安德鲁·菲尔米诺,演员
30047,马吉·汉,演员
30048,阿尔贝托·索尔迪,演员
30049,Barry Norton,演员
30050,苏珊·波尔法,演员
30051,杰米·福克斯,演员
30052,理查德·文彻,演员
30053,康查塔·费雷尔,演员
30054,克劳迪·布莱克利,演员
30055,杰森·席格尔,演员
30056,马克·多兹劳,演员
30057,白石绫乃,演员
30058,戴布思·格里尔,演员
30059,托马斯·阿诺德,演员
30060,山寺宏一,演员
30061,赵志凌,演员
30062,蔡鸿翔,演员
30063,柳叶敏郎,演员
30064,彼特·道格特,演员
30065,Maurice Brierre,演员
30066,罗伯特·卡普荣,演员
30067,安迪·莱什利兹,演员
30068,维尔·博登,演员
30069,蕾雅·赛杜,演员
30070,泽索特·萨法尔·科夫卡,演员
