index:ID,film,:LABEL
10001,肖申克的救赎 The Shawshank Redemption,电影
10002,霸王别姬,电影
10003,这个杀手不太冷 Léon,电影
10004,阿甘正传 Forrest Gump,电影
10005,美丽人生 La vita è bella,电影
10006,泰坦尼克号 Titanic,电影
10007,千与千寻 千と千尋の神隠し,电影
10008,辛德勒的名单 Schindler's List,电影
10009,盗梦空间 Inception,电影
10010,忠犬八公的故事 Hachi: A Dog's Tale,电影
10011,机器人总动员 WALL·E,电影
10012,三傻大闹宝莱坞 3 Idiots,电影
10013,海上钢琴师 La leggenda del pianista sull'oceano,电影
10014,放牛班的春天 Les choristes,电影
10015,楚门的世界 The Truman Show,电影
10016,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,电影
10017,星际穿越 Interstellar,电影
10018,龙猫 となりのトトロ,电影
10019,教父 The Godfather,电影
10020,熔炉 도가니,电影
10021,无间道 無間道,电影
10022,疯狂动物城 Zootopia,电影
10023,当幸福来敲门 The Pursuit of Happyness,电影
10024,怦然心动 Flipped,电影
10025,触不可及 Intouchables,电影
10026,蝙蝠侠：黑暗骑士 The Dark Knight,电影
10027,乱世佳人 Gone with the Wind,电影
10028,活着,电影
10029,控方证人 Witness for the Prosecution,电影
10030,少年派的奇幻漂流 Life of Pi,电影
10031,指环王3：王者无敌 The Lord of the Rings: The Return of the King,电影
10032,天堂电影院 Nuovo Cinema Paradiso,电影
10033,鬼子来了,电影
10034,天空之城 天空の城ラピュタ,电影
10035,摔跤吧！爸爸 Dangal,电影
10036,十二怒汉 12 Angry Men,电影
10037,飞屋环游记 Up,电影
10038,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,电影
10039,哈尔的移动城堡 ハウルの動く城,电影
10040,搏击俱乐部 Fight Club,电影
10041,罗马假日 Roman Holiday,电影
10042,闻香识女人 Scent of a Woman,电影
10043,末代皇帝 The Last Emperor,电影
10044,辩护人 변호인,电影
10045,寻梦环游记 Coco,电影
10046,窃听风暴 Das Leben der Anderen,电影
10047,素媛 소원,电影
10048,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",电影
10049,死亡诗社 Dead Poets Society,电影
10050,飞越疯人院 One Flew Over the Cuckoo's Nest,电影
10051,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,电影
10052,教父2 The Godfather: Part Ⅱ,电影
10053,V字仇杀队 V for Vendetta,电影
10054,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,电影
10055,狮子王 The Lion King,电影
10056,美丽心灵 A Beautiful Mind,电影
10057,饮食男女 飲食男女,电影
10058,海豚湾 The Cove,电影
10059,情书 Love Letter,电影
10060,钢琴家 The Pianist,电影
10061,本杰明·巴顿奇事 The Curious Case of Benjamin Button,电影
10062,看不见的客人 Contratiempo,电影
10063,黑客帝国 The Matrix,电影
10064,美国往事 Once Upon a Time in America,电影
10065,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,电影
10066,大闹天宫,电影
10067,西西里的美丽传说 Malèna,电影
10068,小鞋子 بچههای آسمان,电影
10069,拯救大兵瑞恩 Saving Private Ryan,电影
10070,让子弹飞,电影
10071,致命魔术 The Prestige,电影
10072,七宗罪 Se7en,电影
10073,音乐之声 The Sound of Music,电影
10074,被嫌弃的松子的一生 嫌われ松子の一生,电影
10075,低俗小说 Pulp Fiction,电影
10076,猫鼠游戏 Catch Me If You Can,电影
10077,沉默的羔羊 The Silence of the Lambs,电影
10078,天使爱美丽 Le fabuleux destin d'Amélie Poulain,电影
10079,蝴蝶效应 The Butterfly Effect,电影
10080,勇敢的心 Braveheart,电影
10081,春光乍泄 春光乍洩,电影
10082,剪刀手爱德华 Edward Scissorhands,电影
10083,心灵捕手 Good Will Hunting,电影
10084,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,电影
10085,禁闭岛 Shutter Island,电影
10086,布达佩斯大饭店 The Grand Budapest Hotel,电影
10087,入殓师 おくりびと,电影
10088,阿凡达 Avatar,电影
10089,幽灵公主 もののけ姫,电影
10090,致命ID Identity,电影
10091,加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,电影
10092,阳光灿烂的日子,电影
10093,摩登时代 Modern Times,电影
10094,断背山 Brokeback Mountain,电影
10095,第六感 The Sixth Sense,电影
10096,重庆森林 重慶森林,电影
10097,狩猎 Jagten,电影
10098,玛丽和马克思 Mary and Max,电影
10099,喜剧之王 喜劇之王,电影
10100,告白,电影
10101,消失的爱人 Gone Girl,电影
10102,大鱼 Big Fish,电影
10103,一一,电影
10104,阳光姐妹淘 써니,电影
