:START_ID,:END_ID,relation,:TYPE
20069,31548,合作,合作
20069,30540,合作,合作
20069,30247,合作,合作
20069,30898,合作,合作
20069,32376,合作,合作
20069,30808,合作,合作
20069,31633,合作,合作
20069,30726,合作,合作
20069,31258,合作,合作
20069,32615,合作,合作
20069,31890,合作,合作
20069,31870,合作,合作
20069,31300,合作,合作
20069,31417,合作,合作
20069,31703,合作,合作
20069,33502,合作,合作
20069,30269,合作,合作
20069,32208,合作,合作
20069,31562,合作,合作
20069,31357,合作,合作
20069,30755,合作,合作
20069,30712,合作,合作
20069,33102,合作,合作
20069,33412,合作,合作
20069,30767,合作,合作
20125,30022,合作,合作
20125,31037,合作,合作
20125,33173,合作,合作
20125,32703,合作,合作
20125,31214,合作,合作
20125,32299,合作,合作
20125,31192,合作,合作
20125,30639,合作,合作
20125,33112,合作,合作
20125,30018,合作,合作
20125,32804,合作,合作
20125,30812,合作,合作
20125,32382,合作,合作
20125,31965,合作,合作
20125,32320,合作,合作
20125,33204,合作,合作
20125,33517,合作,合作
20125,30646,合作,合作
20125,33355,合作,合作
20100,31785,合作,合作
20100,31504,合作,合作
20100,30447,合作,合作
20100,30962,合作,合作
20100,31481,合作,合作
20100,31475,合作,合作
20100,32955,合作,合作
20100,32659,合作,合作
20100,32167,合作,合作
20100,33263,合作,合作
20100,33498,合作,合作
20100,30622,合作,合作
20100,31865,合作,合作
20100,30967,合作,合作
20100,30949,合作,合作
20100,33273,合作,合作
20182,32233,合作,合作
20182,33124,合作,合作
20182,30849,合作,合作
20182,30582,合作,合作
20182,32551,合作,合作
20182,32424,合作,合作
20182,32593,合作,合作
20182,30876,合作,合作
20182,31285,合作,合作
20182,31492,合作,合作
20182,30885,合作,合作
20182,32725,合作,合作
20182,30194,合作,合作
20182,31986,合作,合作
20182,30922,合作,合作
20182,31553,合作,合作
20182,33031,合作,合作
20182,32048,合作,合作
20182,31596,合作,合作
20182,33147,合作,合作
20182,30028,合作,合作
20182,33188,合作,合作
20182,32249,合作,合作
