:START_ID,:END_ID,relation,:TYPE
20069,10001,导演,导演
20125,10002,导演,导演
20100,10003,导演,导演
20182,10004,导演,导演
20178,10005,导演,导演
20087,10006,导演,导演
20051,10007,导演,导演
20091,10008,导演,导演
20021,10009,导演,导演
20044,10010,导演,导演
20053,10011,导演,导演
20183,10012,导演,导演
20109,10013,导演,导演
20066,10014,导演,导演
20142,10015,导演,导演
20114,10016,导演,导演
20021,10017,导演,导演
20051,10018,导演,导演
20010,10019,导演,导演
20016,10020,导演,导演
20113,10021,导演,导演
20190,10021,导演,导演
20168,10022,导演,导演
20179,10022,导演,导演
20025,10022,导演,导演
20088,10023,导演,导演
20120,10024,导演,导演
20103,10025,导演,导演
20134,10025,导演,导演
20021,10026,导演,导演
20034,10027,导演,导演
20171,10027,导演,导演
20110,10027,导演,导演
20172,10028,导演,导演
20095,10029,导演,导演
20151,10030,导演,导演
20013,10031,导演,导演
20109,10032,导演,导演
20135,10033,导演,导演
20051,10034,导演,导演
20099,10035,导演,导演
20180,10036,导演,导演
20078,10037,导演,导演
20067,10037,导演,导演
20114,10038,导演,导演
20051,10039,导演,导演
20156,10040,导演,导演
20050,10041,导演,导演
20002,10042,导演,导演
20001,10043,导演,导演
20076,10044,导演,导演
20184,10045,导演,导演
20173,10045,导演,导演
20140,10046,导演,导演
20017,10047,导演,导演
20035,10048,导演,导演
20142,10049,导演,导演
20112,10050,导演,导演
20013,10051,导演,导演
20010,10052,导演,导演
20046,10053,导演,导演
20013,10054,导演,导演
20018,10055,导演,导演
20192,10055,导演,导演
20181,10056,导演,导演
20151,10057,导演,导演
20169,10058,导演,导演
20195,10059,导演,导演
20186,10060,导演,导演
20156,10061,导演,导演
20153,10062,导演,导演
20152,10063,导演,导演
20118,10063,导演,导演
20159,10064,导演,导演
20003,10065,导演,导演
20036,10066,导演,导演
20175,10066,导演,导演
20109,10067,导演,导演
20121,10068,导演,导演
20091,10069,导演,导演
20135,10070,导演,导演
20021,10071,导演,导演
20156,10072,导演,导演
20026,10073,导演,导演
20084,10074,导演,导演
20191,10075,导演,导演
20091,10076,导演,导演
20060,10077,导演,导演
20199,10078,导演,导演
20162,10079,导演,导演
20072,10079,导演,导演
20147,10080,导演,导演
20048,10081,导演,导演
20064,10082,导演,导演
20049,10083,导演,导演
20031,10084,导演,导演
20133,10085,导演,导演
20101,10086,导演,导演
20006,10087,导演,导演
20087,10088,导演,导演
20051,10089,导演,导演
20176,10090,导演,导演
20027,10091,导演,导演
20135,10092,导演,导演
20029,10093,导演,导演
20151,10094,导演,导演
20022,10095,导演,导演
20048,10096,导演,导演
20185,10097,导演,导演
20155,10098,导演,导演
20089,10099,导演,导演
20148,10099,导演,导演
20084,10100,导演,导演
20156,10101,导演,导演
20064,10102,导演,导演
20150,10103,导演,导演
20097,10104,导演,导演
20058,10105,导演,导演
20114,10106,导演,导演
20107,10107,导演,导演
20085,10108,导演,导演
20033,10109,导演,导演
20090,10110,导演,导演
20063,10111,导演,导演
20040,10112,导演,导演
20129,10112,导演,导演
20177,10113,导演,导演
20188,10114,导演,导演
20082,10115,导演,导演
20056,10116,导演,导演
20051,10117,导演,导演
20107,10118,导演,导演
20115,10119,导演,导演
20058,10120,导演,导演
20094,10121,导演,导演
20071,10121,导演,导演
20106,10122,导演,导演
20062,10123,导演,导演
20091,10124,导演,导演
20144,10125,导演,导演
20021,10126,导演,导演
20005,10127,导演,导演
20092,10128,导演,导演
20165,10128,导演,导演
20079,10129,导演,导演
20148,10130,导演,导演
20130,10131,导演,导演
20128,10131,导演,导演
20078,10132,导演,导演
20023,10132,导演,导演
20184,10132,导演,导演
20124,10133,导演,导演
20059,10134,导演,导演
20074,10135,导演,导演
20119,10136,导演,导演
20189,10137,导演,导演
20024,10138,导演,导演
20129,10138,导演,导演
20073,10139,导演,导演
20151,10140,导演,导演
20004,10141,导演,导演
20147,10142,导演,导演
20174,10143,导演,导演
20048,10144,导演,导演
20105,10145,导演,导演
20131,10146,导演,导演
20096,10146,导演,导演
20093,10147,导演,导演
20043,10148,导演,导演
20073,10149,导演,导演
20021,10150,导演,导演
20086,10151,导演,导演
20004,10152,导演,导演
20039,10153,导演,导演
20184,10154,导演,导演
20010,10155,导演,导演
20200,10156,导演,导演
20108,10157,导演,导演
20117,10158,导演,导演
20048,10159,导演,导演
20083,10160,导演,导演
20149,10161,导演,导演
20191,10162,导演,导演
20008,10163,导演,导演
20136,10164,导演,导演
20166,10165,导演,导演
20065,10166,导演,导演
20197,10167,导演,导演
20078,10168,导演,导演
20030,10168,导演,导演
20146,10169,导演,导演
20158,10169,导演,导演
20145,10170,导演,导演
20179,10171,导演,导演
20167,10172,导演,导演
20052,10172,导演,导演
20070,10173,导演,导演
20009,10173,导演,导演
20057,10174,导演,导演
20012,10175,导演,导演
20177,10176,导演,导演
20196,10177,导演,导演
20091,10178,导演,导演
20054,10179,导演,导演
20047,10180,导演,导演
20154,10181,导演,导演
20126,10182,导演,导演
20019,10183,导演,导演
20051,10184,导演,导演
20131,10185,导演,导演
20015,10186,导演,导演
20160,10187,导演,导演
20119,10188,导演,导演
20104,10189,导演,导演
20141,10189,导演,导演
20161,10189,导演,导演
20124,10190,导演,导演
20152,10191,导演,导演
20118,10191,导演,导演
20048,10192,导演,导演
20193,10193,导演,导演
20141,10194,导演,导演
20081,10194,导演,导演
20080,10195,导演,导演
20011,10196,导演,导演
20028,10197,导演,导演
20189,10198,导演,导演
20150,10199,导演,导演
20032,10200,导演,导演
20138,10201,导演,导演
20187,10202,导演,导演
20123,10203,导演,导演
20116,10204,导演,导演
20038,10205,导演,导演
20041,10206,导演,导演
20075,10206,导演,导演
20087,10207,导演,导演
20061,10208,导演,导演
20124,10209,导演,导演
20014,10210,导演,导演
20137,10211,导演,导演
20157,10212,导演,导演
20021,10213,导演,导演
20107,10214,导演,导演
20163,10215,导演,导演
20089,10216,导演,导演
20191,10217,导演,导演
20102,10218,导演,导演
20098,10219,导演,导演
20093,10220,导演,导演
20122,10221,导演,导演
20029,10222,导演,导演
20042,10223,导演,导演
20012,10224,导演,导演
20069,10225,导演,导演
20170,10226,导演,导演
20139,10227,导演,导演
20091,10228,导演,导演
20091,10229,导演,导演
20132,10230,导演,导演
20068,10231,导演,导演
20194,10232,导演,导演
20170,10233,导演,导演
20068,10234,导演,导演
20004,10235,导演,导演
20020,10236,导演,导演
20159,10237,导演,导演
20143,10238,导演,导演
20077,10239,导演,导演
20111,10240,导演,导演
20166,10241,导演,导演
20120,10242,导演,导演
20055,10243,导演,导演
20138,10244,导演,导演
20007,10245,导演,导演
20198,10246,导演,导演
20164,10247,导演,导演
20037,10247,导演,导演
20045,10248,导演,导演
20127,10249,导演,导演
