:START_ID,:END_ID,relation,:TYPE
10001,40013,类型,类型
10001,40027,类型,类型
10002,40013,类型,类型
10002,40025,类型,类型
10002,40020,类型,类型
10003,40013,类型,类型
10003,40015,类型,类型
10003,40027,类型,类型
10004,40013,类型,类型
10004,40025,类型,类型
10005,40013,类型,类型
10005,40016,类型,类型
10005,40025,类型,类型
10005,40017,类型,类型
10006,40013,类型,类型
10006,40025,类型,类型
10006,40018,类型,类型
10007,40013,类型,类型
10007,40019,类型,类型
10007,40026,类型,类型
10008,40013,类型,类型
10008,40011,类型,类型
10008,40017,类型,类型
10009,40013,类型,类型
10009,40002,类型,类型
10009,40021,类型,类型
10009,40022,类型,类型
10010,40013,类型,类型
10011,40025,类型,类型
10011,40002,类型,类型
10011,40019,类型,类型
10011,40022,类型,类型
10012,40013,类型,类型
10012,40016,类型,类型
10012,40025,类型,类型
10012,40009,类型,类型
10013,40013,类型,类型
10013,40005,类型,类型
10014,40013,类型,类型
10014,40005,类型,类型
10015,40013,类型,类型
10015,40002,类型,类型
10016,40016,类型,类型
10016,40025,类型,类型
10016,40026,类型,类型
10016,40014,类型,类型
10017,40013,类型,类型
10017,40002,类型,类型
10017,40022,类型,类型
10018,40019,类型,类型
10018,40026,类型,类型
10018,40022,类型,类型
10019,40013,类型,类型
10019,40027,类型,类型
10020,40013,类型,类型
10021,40013,类型,类型
10021,40021,类型,类型
10021,40027,类型,类型
10022,40016,类型,类型
10022,40019,类型,类型
10022,40022,类型,类型
10023,40013,类型,类型
10023,40001,类型,类型
10023,40004,类型,类型
10024,40013,类型,类型
10024,40016,类型,类型
10024,40025,类型,类型
10025,40013,类型,类型
10025,40016,类型,类型
10026,40013,类型,类型
10026,40015,类型,类型
10026,40002,类型,类型
10026,40007,类型,类型
10026,40027,类型,类型
10027,40013,类型,类型
10027,40025,类型,类型
10027,40011,类型,类型
10027,40017,类型,类型
10028,40013,类型,类型
10028,40001,类型,类型
10028,40011,类型,类型
10029,40013,类型,类型
10029,40021,类型,类型
10029,40027,类型,类型
10030,40013,类型,类型
10030,40026,类型,类型
10030,40022,类型,类型
10031,40013,类型,类型
10031,40015,类型,类型
10031,40026,类型,类型
10031,40022,类型,类型
10032,40013,类型,类型
10032,40025,类型,类型
10033,40013,类型,类型
10033,40011,类型,类型
10033,40017,类型,类型
10034,40019,类型,类型
10034,40026,类型,类型
10034,40022,类型,类型
10035,40013,类型,类型
10035,40001,类型,类型
10035,40004,类型,类型
10035,40024,类型,类型
10036,40013,类型,类型
10037,40013,类型,类型
10037,40016,类型,类型
10037,40019,类型,类型
10037,40022,类型,类型
10038,40016,类型,类型
10038,40025,类型,类型
10038,40026,类型,类型
10038,40014,类型,类型
10039,40019,类型,类型
10039,40026,类型,类型
10039,40022,类型,类型
10040,40013,类型,类型
10040,40015,类型,类型
10040,40021,类型,类型
10040,40007,类型,类型
10041,40013,类型,类型
10041,40016,类型,类型
10041,40025,类型,类型
10042,40013,类型,类型
10043,40013,类型,类型
10043,40004,类型,类型
10043,40011,类型,类型
10044,40013,类型,类型
10045,40016,类型,类型
10045,40019,类型,类型
10045,40005,类型,类型
10045,40026,类型,类型
10046,40013,类型,类型
10046,40021,类型,类型
10047,40013,类型,类型
10048,40013,类型,类型
10048,40016,类型,类型
10048,40027,类型,类型
10049,40013,类型,类型
10050,40013,类型,类型
10051,40013,类型,类型
10051,40015,类型,类型
10051,40026,类型,类型
10051,40022,类型,类型
10052,40013,类型,类型
10052,40027,类型,类型
10053,40013,类型,类型
10053,40015,类型,类型
10053,40002,类型,类型
10053,40007,类型,类型
10054,40013,类型,类型
10054,40015,类型,类型
10054,40026,类型,类型
10054,40022,类型,类型
10055,40013,类型,类型
10055,40019,类型,类型
10055,40009,类型,类型
10055,40001,类型,类型
10055,40022,类型,类型
10056,40013,类型,类型
10056,40004,类型,类型
10057,40013,类型,类型
10057,40001,类型,类型
10058,40006,类型,类型
10059,40013,类型,类型
10059,40025,类型,类型
10060,40013,类型,类型
10060,40005,类型,类型
10060,40004,类型,类型
10060,40011,类型,类型
10060,40017,类型,类型
10061,40013,类型,类型
10061,40025,类型,类型
10061,40026,类型,类型
10062,40013,类型,类型
10062,40021,类型,类型
10062,40007,类型,类型
10062,40027,类型,类型
10063,40015,类型,类型
10063,40002,类型,类型
10064,40013,类型,类型
10064,40027,类型,类型
10065,40026,类型,类型
10065,40022,类型,类型
10066,40019,类型,类型
10066,40026,类型,类型
10067,40013,类型,类型
10067,40010,类型,类型
10067,40017,类型,类型
10068,40013,类型,类型
10068,40001,类型,类型
10068,40012,类型,类型
10069,40013,类型,类型
10069,40011,类型,类型
10069,40017,类型,类型
10070,40013,类型,类型
10070,40016,类型,类型
10070,40015,类型,类型
10070,40008,类型,类型
10071,40013,类型,类型
10071,40021,类型,类型
10071,40007,类型,类型
10072,40013,类型,类型
10072,40021,类型,类型
10072,40007,类型,类型
10072,40027,类型,类型
10073,40013,类型,类型
10073,40025,类型,类型
10073,40009,类型,类型
10073,40004,类型,类型
10074,40013,类型,类型
10074,40009,类型,类型
10075,40013,类型,类型
10075,40016,类型,类型
10075,40027,类型,类型
10076,40013,类型,类型
10076,40004,类型,类型
10076,40027,类型,类型
10077,40013,类型,类型
10077,40007,类型,类型
10077,40027,类型,类型
10078,40016,类型,类型
10078,40025,类型,类型
10079,40013,类型,类型
10079,40002,类型,类型
10079,40021,类型,类型
10079,40007,类型,类型
10080,40013,类型,类型
10080,40015,类型,类型
10080,40004,类型,类型
10080,40011,类型,类型
10080,40017,类型,类型
10081,40013,类型,类型
10081,40025,类型,类型
10081,40020,类型,类型
10082,40013,类型,类型
10082,40025,类型,类型
10082,40026,类型,类型
10083,40013,类型,类型
10084,40013,类型,类型
10084,40017,类型,类型
10085,40013,类型,类型
10085,40021,类型,类型
10085,40007,类型,类型
10086,40013,类型,类型
10086,40016,类型,类型
10086,40022,类型,类型
10087,40013,类型,类型
10088,40015,类型,类型
10088,40002,类型,类型
10088,40017,类型,类型
10088,40022,类型,类型
10089,40019,类型,类型
10089,40026,类型,类型
10089,40022,类型,类型
10090,40013,类型,类型
10090,40021,类型,类型
10090,40007,类型,类型
10091,40015,类型,类型
10091,40026,类型,类型
10091,40022,类型,类型
10092,40013,类型,类型
10092,40025,类型,类型
10093,40013,类型,类型
10093,40016,类型,类型
10093,40025,类型,类型
10094,40013,类型,类型
10094,40025,类型,类型
10094,40020,类型,类型
10094,40001,类型,类型
10095,40013,类型,类型
10095,40021,类型,类型
10095,40007,类型,类型
10096,40013,类型,类型
10096,40025,类型,类型
10097,40013,类型,类型
10098,40013,类型,类型
10098,40016,类型,类型
10098,40019,类型,类型
10099,40013,类型,类型
10099,40016,类型,类型
10099,40025,类型,类型
10100,40013,类型,类型
10100,40007,类型,类型
10101,40013,类型,类型
10101,40021,类型,类型
10101,40007,类型,类型
10101,40027,类型,类型
10102,40013,类型,类型
10102,40001,类型,类型
10102,40026,类型,类型
10102,40022,类型,类型
10103,40013,类型,类型
10103,40025,类型,类型
10103,40001,类型,类型
10104,40013,类型,类型
10104,40016,类型,类型
10105,40013,类型,类型
10106,40016,类型,类型
